City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,kendari,-3.945,122.4989,27.16,87,72,2.07,ID,1718167238
190,zeya,53.75,127.2667,22.7,38,45,4.74,RU,1718167238
191,lovisa,60.4566,26.2251,11.27,88,100,2.41,FI,1718167238
192,mount isa,-20.7333,139.5,28.87,16,0,4.63,AU,1718167238
193,soleto,40.1884,18.2063,22.01,96,0,4.4,IT,1718167238
194,satkania,22.0796,92.0572,28.99,76,100,3.06,BD,1718167238
195,acarau,-2.8856,-40.12,24.42,90,19,4.23,BR,1718167000
196,dudinka,69.4058,86.1778,8.94,53,70,3.34,RU,1718167238
197,tsiombe,-25.3,45.4833,18.92,78,82,5.2,MG,1718167238
198,port lincoln,-34.7333,135.8667,15.15,65,99,2.32,AU,1718166970
199,tofol,5.3248,163.0078,30.88,74,75,3.6,FM,1718167238
200,agat village,13.3886,144.6585,30.2,85,40,2.06,GU,1718167238
201,zouerate,22.7187,-12.4521,23.17,37,6,4.81,MR,1718167239
202,inari,68.906,27.0288,10.11,72,100,3.27,FI,1718167239
203,al faw,29.9776,48.4741,34.0,22,0,5.34,IQ,1718167239
204,cannonvale,-20.2833,148.7,25.88,53,0,2.61,AU,1718167239
205,pisco,-13.7,-76.2167,17.03,88,100,1.54,PE,1718167239
206,kennebunk,43.384,-70.5448,16.51,95,0,0.0,US,1718167239
207,yemetsk,63.4721,41.7941,17.13,73,91,1.74,RU,1718167239
208,kabin buri,13.9511,101.7177,34.17,68,99,3.54,TH,1718167239
209,dogondoutchi,13.6393,4.0287,28.58,56,100,4.54,NE,1718167239
210,sinop,41.7711,34.8709,18.24,41,78,1.79,TR,1718167239
211,ust'-barguzin,53.45,108.9833,7.27,99,100,1.37,RU,1718167239
212,geraldton,-28.7667,114.6,19.23,77,100,3.09,AU,1718167239
213,cidreira,-30.1811,-50.2056,18.04,94,86,6.52,BR,1718167239
214,la gi,10.6667,107.7833,33.28,58,60,4.43,VN,1718167239
215,jamestown,42.097,-79.2353,10.01,98,0,0.0,US,1718167068
216,tura,25.5198,90.2201,30.18,78,69,2.36,IN,1718167239
217,lompoc,34.6391,-120.4579,18.34,93,100,2.06,US,1718167239
218,tevriz,57.509,72.4042,22.92,48,3,4.7,RU,1718167239
219,siwa oasis,29.2041,25.5195,28.05,29,0,2.12,EG,1718167228
220,qaqortoq,60.7167,-46.0333,2.23,98,100,1.18,GL,1718167239
221,nisko,50.5199,22.1397,13.29,75,8,1.34,PL,1718167116
222,howrah,22.5892,88.3103,34.0,75,40,4.12,IN,1718167084
223,papao,-17.75,-149.55,25.82,77,57,10.6,PF,1718167239
224,maragogi,-9.0122,-35.2225,24.55,85,62,3.23,BR,1718167239
225,wailua homesteads,22.0669,-159.378,29.24,86,100,7.2,US,1718167239
226,farasan,16.7022,42.1183,30.56,70,3,2.69,SA,1718167239
227,ulladulla,-35.35,150.4667,13.28,52,22,8.04,AU,1718167240
228,kone,-21.0595,164.8658,23.11,54,2,3.18,NC,1718167240
229,newcastle,-32.9272,151.7765,18.87,42,29,9.77,AU,1718167240
230,laguna,38.421,-121.4238,33.51,41,0,4.12,US,1718167240
231,nova sintra,14.8667,-24.7167,24.02,83,14,6.86,CV,1718167240
232,san andres,12.5847,-81.7006,28.01,89,40,1.03,CO,1718167240
233,remire-montjoly,4.9167,-52.2667,25.02,100,100,1.54,GF,1718167240
234,penzance,50.1186,-5.5371,12.38,77,48,4.89,GB,1718167240
235,argo,37.6333,22.7333,30.56,22,1,1.64,GR,1718167240
236,antofagasta,-23.65,-70.4,15.6,83,20,2.85,CL,1718167240
237,tindouf,27.6711,-8.1474,16.25,72,0,8.23,DZ,1718167240
238,ambon,-3.6954,128.1814,26.08,89,75,1.54,ID,1718167240
239,suntar,62.1444,117.6319,25.63,27,14,2.97,RU,1718167240
240,port mathurin,-19.6833,63.4167,24.15,72,50,9.28,MU,1718167240
241,bonga,7.2833,36.2333,17.21,98,89,0.14,ET,1718167240
242,new norfolk,-42.7826,147.0587,9.72,71,83,2.96,AU,1718167240
243,at taj,24.2049,23.2857,26.96,15,0,3.5,LY,1718167240
244,sitka,57.0531,-135.33,11.94,66,75,6.69,US,1718167240
245,santa terezinha,-29.9002,-50.0904,17.95,95,88,6.2,BR,1718167240
246,tianchang,37.9981,114.0156,40.1,14,0,4.7,CN,1718167240
247,severo-yeniseyskiy,60.3725,93.0408,25.11,32,79,1.4,RU,1718167241
248,bamboo flat,11.7,92.7167,31.05,74,40,6.17,IN,1718167241
249,sechura,-5.5569,-80.8222,19.63,79,42,4.74,PE,1718167241
250,ujae,8.9322,165.7642,28.54,82,57,7.58,MH,1718167241
251,novodvinsk,64.4165,40.8122,16.86,70,25,2.04,RU,1718167241
252,ust-tsilma,65.441,52.1498,17.56,78,57,2.24,RU,1718167241
